unixtime,time,low,high,open,close,volume
1620578700,0.6979166666666666,1.8041,1.8335,1.8122,1.8291,0.0014768125797425908
1620579600,0.7083333333333334,1.8022,1.8356,1.8291,1.8051,0.002006698716503183
1620580500,0.71875,1.7901,1.8097,1.8051,1.7907,0.0011324816263951951
1620581400,0.7291666666666666,1.7901,1.8059,1.7912,1.8028,0.0009439609304741956
1620582300,0.7395833333333334,1.8016,1.8237,1.8029,1.8204,0.0010486538920792088
1620583200,0.75,1.8097,1.827,1.8203,1.8219,0.0015524919490327626
1620584100,0.7604166666666666,1.8002,1.8219,1.8219,1.8129,0.0012416965119909937
1620585000,0.7708333333333334,1.7923,1.8141,1.8127,1.8,0.0010012007074648062
1620585900,0.78125,1.7953,1.815,1.8001,1.8054,0.0010084208976911648
1620586800,0.7916666666666666,1.8,1.8188,1.8053,1.8038,0.0012125023751801255
1620587700,0.8020833333333334,1.7616,1.8049,1.804,1.7692,0.0018514253422046156
1620588600,0.8125,1.7448,1.776,1.7689,1.7539,0.0017395332127197766
1620589500,0.8229166666666666,1.748,1.7716,1.7537,1.7631,0.0017532584144221675
1620590400,0.8333333333333334,1.7504,1.7705,1.7631,1.7652,0.0016027045384362677
1620591300,0.84375,1.7547,1.7697,1.7649,1.7646,0.0010388256493329656
1620592200,0.8541666666666666,1.764,1.7945,1.7646,1.7836,0.001360148919789027
1620593100,0.8645833333333334,1.78,1.803,1.7821,1.803,0.0010641554450958168
1620594000,0.875,1.7874,1.8081,1.8015,1.8037,0.001056153244526858
1620594900,0.8854166666666666,1.7973,1.816,1.8037,1.8069,0.00102653742852587
1620595800,0.8958333333333334,1.803,1.8191,1.8069,1.8136,0.0011481108045249553
1620596700,0.90625,1.7991,1.8188,1.8136,1.8039,0.001116726936477271
1620597600,0.9166666666666666,1.7971,1.8175,1.8039,1.8104,0.0007946867128172482
1620598500,0.9270833333333334,1.7877,1.8116,1.8104,1.7926,0.0007472531026445027
1620599400,0.9375,1.786,1.81,1.7925,1.787,0.0011089944282155872
1620600300,0.9479166666666666,1.767,1.8,1.788,1.7717,0.0012626430129532651
1620601200,0.9583333333333334,1.769,1.7815,1.7715,1.7772,0.0011108881830506653
1620602100,0.96875,1.775,1.7884,1.7761,1.7768,0.0012795247335423737
1620603000,0.9791666666666666,1.7759,1.7925,1.7768,1.7858,0.0009631085605804632
1620603900,0.9895833333333334,1.7681,1.7996,1.787,1.7704,0.0014196541380381985
1620604800,0.0,1.7589,1.7823,1.7698,1.7624,0.0011770016453128422
1620605700,0.010416666666666666,1.7313,1.7628,1.7624,1.7327,0.0019053502611281038
1620606600,0.020833333333333332,1.713,1.7446,1.7327,1.7427,0.002364130904648502
1620607500,0.03125,1.7406,1.7528,1.7435,1.7498,0.001014166295140437
1620608400,0.041666666666666664,1.7412,1.7663,1.7495,1.7657,0.0011404427249495821
1620609300,0.052083333333333336,1.7589,1.7902,1.7662,1.7841,0.0015818620833022187
1620610200,0.0625,1.7725,1.79,1.7836,1.7736,0.0012689734995207742
1620611100,0.07291666666666667,1.7673,1.7938,1.7736,1.7897,0.0008224880329121717
1620612000,0.08333333333333333,1.7605,1.7901,1.7901,1.7739,0.0012181413362178063
1620612900,0.09375,1.77,1.7841,1.7745,1.7804,0.0007753456364583186
1620613800,0.10416666666666667,1.7584,1.7816,1.7804,1.7647,0.0007312166812442962
1620614700,0.11458333333333333,1.748,1.7647,1.7647,1.7484,0.0009701959871716861
1620615600,0.125,1.7314,1.7516,1.7484,1.739,0.0011896981444883376
1620616500,0.13541666666666666,1.7374,1.7633,1.7387,1.7577,0.001298187241579786
1620617400,0.14583333333333334,1.7429,1.7598,1.7577,1.7536,0.0012231115562032313
1620618300,0.15625,1.75,1.7629,1.7526,1.7597,0.0010558864911584152
1620619200,0.16666666666666666,1.7476,1.7625,1.7597,1.7559,0.0011599348393515655
1620620100,0.17708333333333334,1.7548,1.779,1.7549,1.778,0.001149824852800445
1620621000,0.1875,1.7577,1.7789,1.778,1.7609,0.0009306026648350362
1620621900,0.19791666666666666,1.7574,1.7729,1.7614,1.768,0.0008089387054424217
1620622800,0.20833333333333334,1.7526,1.7693,1.7679,1.765,0.0006589467829032379
1620623700,0.21875,1.75,1.7657,1.7651,1.7592,0.0007867118992149768
1620624600,0.22916666666666666,1.75,1.7675,1.7592,1.751,0.0005769744986367513
1620625500,0.23958333333333334,1.7479,1.7616,1.751,1.7615,0.0006537623654157015
1620626400,0.25,1.7608,1.7995,1.7616,1.7995,0.0007421104833981377
1620627300,0.2604166666666667,1.7952,1.8188,1.7991,1.8069,0.0011608688858673888
1620628200,0.2708333333333333,1.7831,1.8133,1.8069,1.8081,0.0007476550780057211
1620629100,0.28125,1.8072,1.8274,1.8072,1.8173,0.00079273898501745
1620630000,0.2916666666666667,1.7962,1.8223,1.817,1.8013,0.0004633124748773101
1620630900,0.3020833333333333,1.7897,1.8065,1.8002,1.8023,0.0006633689308448593
1620631800,0.3125,1.7897,1.8095,1.8022,1.7942,0.0003585902655938123
1620632700,0.3229166666666667,1.7836,1.7986,1.7942,1.786,0.0003224614345915442
1620633600,0.3333333333333333,1.7764,1.7909,1.7851,1.7789,0.000441027703164467
